time	magn	lat	long	altGPS	sat	fix	alt	vsi	pitch	roll
07:12:51.432381	982	59.864631	30.342017	7.29	10	3	12.86	-0.02	0.00	-1.00
07:12:51.447473	983	59.864631	30.342017	7.29	10	3	12.86	-0.02	0.00	-1.00
07:12:51.448452	981	59.864631	30.342017	7.29	10	3	12.86	-0.02	0.00	-1.00
07:12:51.463806	982	59.864631	30.342017	7.29	10	3	12.83	-0.02	0.00	-1.00
07:12:51.480198	980	59.864631	30.342017	7.29	10	3	12.78	-0.02	0.00	-1.00
07:12:51.481673	980	59.864631	30.342017	7.29	10	3	12.78	-0.02	0.00	-1.00
07:12:51.496594	977	59.864631	30.342017	7.29	10	3	12.76	-0.02	0.00	-1.00
07:12:51.498024	978	59.864631	30.342017	7.29	10	3	12.76	-0.02	0.00	-1.00
07:12:51.511722	976	59.864631	30.342017	7.29	10	3	12.80	-0.02	0.00	-1.00
07:12:51.528072	976	59.864631	30.342017	7.29	10	3	12.65	-0.03	0.00	-1.00
07:12:51.529463	973	59.864631	30.342017	7.29	10	3	12.65	-0.03	0.00	-1.00
07:12:51.544448	974	59.864631	30.342017	7.29	10	3	12.52	-0.03	0.00	-1.00
07:12:51.545642	970	59.864631	30.342017	7.29	10	3	12.52	-0.03	0.00	-1.00
07:12:51.559553	970	59.864631	30.342017	7.29	10	3	12.49	-0.03	0.00	-1.00
07:12:51.576005	969	59.864631	30.342017	7.29	10	3	12.54	-0.03	0.00	-1.00
07:12:51.577151	969	59.864631	30.342017	7.29	10	3	12.54	-0.03	0.00	-1.00
07:12:51.592373	967	59.864631	30.342017	7.29	10	3	12.45	-0.03	0.00	-1.00
07:12:51.593715	967	59.864631	30.342017	7.29	10	3	12.43	-0.03	0.00	-1.00
07:12:51.607470	963	59.864631	30.342017	7.33	10	3	12.39	-0.03	0.00	-1.00
07:12:51.623811	962	59.864631	30.342017	7.33	10	3	12.43	-0.03	0.00	-1.00
07:12:51.625092	962	59.864631	30.342017	7.33	10	3	12.43	-0.03	0.00	-1.00
07:12:51.640198	960	59.864631	30.342017	7.33	10	3	12.30	-0.03	1.00	-1.00
07:12:51.656604	960	59.864631	30.342017	7.33	10	3	12.26	-0.03	1.00	-1.00
07:12:51.657927	960	59.864631	30.342017	7.33	10	3	12.26	-0.03	1.00	-1.00
07:12:51.671731	960	59.864631	30.342017	7.33	10	3	12.25	-0.03	1.00	-1.00
07:12:51.673196	953	59.864631	30.342017	7.33	10	3	12.25	-0.03	1.00	-1.00
07:12:51.688072	953	59.864631	30.342017	7.33	10	3	12.25	-0.03	1.00	-1.00
07:12:51.704450	949	59.864631	30.342017	7.33	10	3	12.25	-0.03	1.00	-1.00
07:12:51.705668	948	59.864631	30.342017	7.33	10	3	12.25	-0.03	1.00	-1.00
07:12:51.719560	943	59.864631	30.342017	7.33	10	3	12.09	-0.03	1.00	-1.00
